,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,status_count,follower_count,following_count,num_days,account_creation_date,account_language,statuses_per_day,followers_per_day,following_per_day,desc_len_terms,desc_len_chars,num_list_items,num_hashtags,url_count,has_location,last_tweet_date,class_value
5217,0PX34LUO12vMdBeoqCCUPZbRlzsbQvQQjykjXsGSbNM=,0PX34LUO12vMdBeoqCCUPZbRlzsbQvQQjykjXsGSbNM=,0PX34LUO12vMdBeoqCCUPZbRlzsbQvQQjykjXsGSbNM=,,"عقیده هرکس به خودش مربوطه پس 🤐
توهین کنی بلاک میشی💣
ورود مجاهدین و سلطنت طلب و اصولگرا ⛔️",14,73,400,422,2018-01-04,en,0.033175355,0.172985782,0.9478672990000001,16,89,1,0,0,0,2019-03-02 14:21,bot
7761,261a553ac8e01a3f5ab164abfff49b4e3a48d4a735727ab151cbccb391f68004,261a553ac8e01a3f5ab164abfff49b4e3a48d4a735727ab151cbccb391f68004,261a553ac8e01a3f5ab164abfff49b4e3a48d4a735727ab151cbccb391f68004,"New York, USA","New York, uniting Liberals since 1624!",218,1590,2946,191,2015-11-24,en,1.141361257,8.32460733,15.42408377,5,38,1,0,0,1,2016-06-02 03:03,bot
3641,OQ0RYnCLPAwPp4RAL1C4GJHbTUqH5WN9TZP1900s+ks=,OQ0RYnCLPAwPp4RAL1C4GJHbTUqH5WN9TZP1900s+ks=,OQ0RYnCLPAwPp4RAL1C4GJHbTUqH5WN9TZP1900s+ks=,,can i apologize in advance for basically everything i will ever do,815,104,689,1117,2015-07-26,en,0.729632945,0.093106535,0.616830797,12,66,1,0,0,0,2018-08-16 20:06,bot
12118,15DTUGWG3FB6U+BlflgLjcit9i8ywxX3J0XWoucb0=,15DTUGWG3FB6U+BlflgLjcit9i8ywxX3J0XWoucb0=,15DTUGWG3FB6U+BlflgLjcit9i8ywxX3J0XWoucb0=,,"Follow us and discover all the political information of trump and all the politics that moves to the world
#Lenpolitical #politicstop",2886,1359,2800,52,2016-12-02,es,55.5,26.13461538,53.84615385,21,133,1,2,0,0,2017-01-23 22:58,bot
9501,dea3f524d91f5c984366d8f214f1a272b65370d8b4da58d44a484218bdb8a7f6,dea3f524d91f5c984366d8f214f1a272b65370d8b4da58d44a484218bdb8a7f6,dea3f524d91f5c984366d8f214f1a272b65370d8b4da58d44a484218bdb8a7f6,"Miami, FL",Action is the foundational key to all success,2,2,40,1,2015-12-11,en,2.0,2.0,40.0,8,45,1,0,0,1,2015-12-11 12:53,bot
12197,lXYxW4d8QPnQG625H6gSvJsRkxs+GRQk3m754YdcdNw=,lXYxW4d8QPnQG625H6gSvJsRkxs+GRQk3m754YdcdNw=,lXYxW4d8QPnQG625H6gSvJsRkxs+GRQk3m754YdcdNw=,Estados Unidos,"Conservative, Donald Trump is my President! Love; God, Country, Family, Guns and Dogs.Tennessee Volunteers Football Fan #MAGA",2654,2389,81,65,2017-08-18,es,40.83076923,36.75384615,1.246153846,16,125,3,1,0,1,2017-10-22 18:44,bot
5575,2PP7rPSGBNjEXJXADPvXX9Yspg7Iga7mO3oO5sMs8=,2PP7rPSGBNjEXJXADPvXX9Yspg7Iga7mO3oO5sMs8=,2PP7rPSGBNjEXJXADPvXX9Yspg7Iga7mO3oO5sMs8=,SHIRAZ,آرزوی قشنگی ست ، داشتن ردپای تو کنار ردپای من بر دشت سپید پوشیده شده از برف هنوز اما نه برف آمده و نه تو,76,165,424,513,2017-11-21,en,0.148148148,0.321637427,0.8265107209999999,24,104,1,0,0,1,2019-04-18 16:54,bot
11414,s91jOP+lpq3kbi+L3JGn1PdHPUihzeH0lwlQM9ObmB4=,s91jOP+lpq3kbi+L3JGn1PdHPUihzeH0lwlQM9ObmB4=,s91jOP+lpq3kbi+L3JGn1PdHPUihzeH0lwlQM9ObmB4=,Venezuela,"ORGULLOSAMENTE Chavista de corazón, de alma y de pensamiento.",3871,1207,1444,2822,2010-04-13,es,1.3717221830000002,0.42771084299999995,0.511693834,9,61,2,0,0,1,2018-01-03 23:46,bot
4409,b9W92BN7Q6xwqIfxRj7IvvFbSrHgGyc5JKWmlvY1l6E=,b9W92BN7Q6xwqIfxRj7IvvFbSrHgGyc5JKWmlvY1l6E=,b9W92BN7Q6xwqIfxRj7IvvFbSrHgGyc5JKWmlvY1l6E=,,"ظاهرم دل فریب، درونم اما مثل یک گیلاس کرموست.
دایرکت ندین!",160,1056,685,930,2015-10-30,en,0.17204301100000002,1.135483871,0.73655914,10,58,2,0,0,0,2018-05-17 11:48,bot
10296,b101a5c90a632c7174a37a10779dd0f2a92c5d57814d700e729e5fb90e80a760,b101a5c90a632c7174a37a10779dd0f2a92c5d57814d700e729e5fb90e80a760,b101a5c90a632c7174a37a10779dd0f2a92c5d57814d700e729e5fb90e80a760,San-Francisco,passion for baking,2160,126,129,495,2013-08-05,en,4.3636363639999995,0.254545455,0.260606061,3,18,1,0,0,1,2014-12-13 22:50,bot
