,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,status_count,follower_count,following_count,num_days,account_creation_date,account_language,statuses_per_day,followers_per_day,following_per_day,desc_len_terms,desc_len_chars,num_list_items,num_hashtags,url_count,has_location,last_tweet_date,class_value
165458,954780721.0,Miguel is Swell,ISmoshAllDay,,"""Do you remember David choking on a dick burrito"" -@ghoulishmx | icon by toriirdz on tumblr | Header by: @AshenMoonlight |they/them|",91602,5168,1216,2134,2012-11-18T03:37:20.000Z,en,42.92502343,2.421743205,0.569821931,18,132,2,0,0,0,2018-09-22T03:39:58.000Z,good
29268,8.72053E+17,90's death bot,oldschool_death,,90年代のメロデスやメロブラ、その影響下にあるバンド等を紹介します。 中の人がたまに浮上します,2139,61,49,453,2017-06-06T11:30:09.000Z,ja,4.721854305,0.134657837,0.10816777,1,47,1,0,0,0,2018-09-02T15:41:26.000Z,good
117002,3002118445.0,Alison Leyland,LadyL2015,"North West, England",midwife passionate about #diabetes #pregnancy #change #positivity #nhs all views my own,1712,462,838,1323,2015-01-29T19:25:48.000Z,en,1.294028723,0.34920634899999997,0.633408919,12,87,1,5,0,1,2018-09-14T18:19:40.000Z,good
97581,9.5987e+17,Oliver,OllyRede,"Oklahoma, USA",To be honest I just post interesting stuff.🌹,950,18,155,230,2018-02-03T19:23:08.000Z,en,4.130434783,0.07826087,0.673913043,7,44,2,0,0,1,2018-09-22T07:32:52.000Z,good
13900,4800099746,Smol Sky,SkiesVintage,I love sleep.,Hello! Game. Art. Music. Nerd. Trash. Smol. Bean. 🍍. Ask about my trash 💜,6169,71,181,974,2016-01-22T22:37:26.000Z,en,6.333675565,0.07289527700000001,0.185831622,12,73,9,0,0,1,2018-09-23T19:50:20.000Z,good
179440,24974713.0,あかね ✨,miminbong,la canción de mi vida,24 🌻| i like kpop and japan ✨ | bts stan account ✌🏼| Profile photo credit idk im sorry :C,91641,982,524,3477,2009-03-17T22:57:10.000Z,en,26.35634167,0.28242738,0.15070463,15,89,2,0,0,1,2018-09-24T00:38:09.000Z,good
141511,366863913.0,Jasmine Siebert,TheJMSKitteh,IL,"Aspiring Self Model
Amateur Photographer
Online Gamer",144,61,55,2573,2011-09-02T23:44:44.000Z,en,0.055965799000000004,0.023707733999999998,0.021375826,7,53,1,0,0,1,2018-09-19T22:30:04.000Z,good
186178,8.87516e+17,結 'Answer',Bangtan_FCM,Chile,I'm the one i should love💜,5857,103,200,431,2017-07-19T03:33:36.000Z,es,13.58932715,0.23897911800000002,0.464037123,5,26,1,0,0,1,2018-09-24T02:37:31.000Z,good
29142,1546930969,blank blank,cruzforyou,Houston,"i am, i am. Andrea.",17966,265,155,1894,2013-06-25T23:50:54.000Z,en,9.485744456,0.139915523,0.081837381,5,19,3,0,0,1,2018-09-02T15:20:15.000Z,good
91671,1.01624e+18,j o o n b u g 💓,pinkhairjungoo,United States,"19, writer, ot7 💜",1767,33,120,65,2018-07-09T08:42:51.000Z,en,27.18461538,0.507692308,1.846153846,1,17,1,0,0,1,2018-09-13T06:34:43.000Z,good
197851,2264623290.0,Thalia🌸,lilbtchboi,Greece,i'm seeing red but i'm singing blue🎶,2580,990,1529,1731,2013-12-27T16:50:37.000Z,el,1.490467938,0.571923744,0.883304448,6,36,1,0,0,1,2018-09-24T11:45:57.000Z,good
21882,8.67824E+17,I feel so broken.,a_nerdy_b0i,,"Fucked up the Fartpipe. - Eddie Bowley 
6/14/18    
H O W S  I T  G O I N  D O O D ?   .             .               .    
I will kill Christina. 
🌟🌟🌟🌟🌟",429,6,54,486,2017-05-25T19:24:24.000Z,en,0.8827160490000001,0.012345678999999998,0.111111111,24,152,6,0,0,0,2018-09-24T19:14:07.000Z,good
90181,1.00598e+18,Cooper T-B,Cooper_TB_88,"Perth, Perth (WA)","Love Ryland, Shane and Gabbie",142,3,37,102,2018-06-11T01:27:40.000Z,en,1.392156863,0.029411765,0.362745098,5,29,1,0,0,1,2018-09-21T05:34:59.000Z,good
217902,7.31672e+17,🤸🏾‍♀️An'ia,NO_0O8," Rochester, NY",👻:aniax13 |HUMBLED 💅🏾|♈️| 2 L's Live & Learn❗️,1230,582,902,640,2016-05-15T02:26:35.000Z,en,1.921875,0.909375,1.409375,2,46,2,0,0,1,2018-02-14T02:37:54.000Z,good
216126,2707790041.0,Kailyn Wynn,WynnKailyn,,luv ya self.🤘,8644,598,514,1289,2014-08-05T00:07:32.000Z,en,6.705973622999999,0.463925524,0.39875872799999995,2,13,2,0,0,0,2018-02-14T23:42:19.000Z,good
